Type,H,B,D,T,R,R1,SectionalArea,TheoreticalWeight
10,100,68,4.5,7.6,6.5,3.3,1434.5,11.261
12,120,74,5,8.4,7,3.5,1781.8,13.987
12.6,126,74,5,8.4,7,3.5,1811.8,14.223
14,140,80,5.5,9.1,7.5,3.8,2151.6,16.89
16,160,88,6,9.9,8,4,2613.1,20.513
18,180,94,6.5,10.7,8.5,4.3,3075.6,24.143
20a,200,100,7,11.4,9,4.5,3557.8,27.929
20b,200,102,9,11.4,9,4.5,3957.8,31.069
22a,220,110,7.5,12.3,9.5,4.8,4212.8,33.07
22b,220,112,9.5,12.3,9.5,4.8,4652.8,36.524
24a,240,116,8,13,10,5,4774.1,37.477
24b,240,118,10,13,10,5,5254.1,41.245
25a,250,116,8,13,10,5,4854.1,38.105
25b,250,118,10,13,10,5,5354.1,42.03
27a,270,122,8.5,13.7,10.5,5.3,5455.4,42.825
27b,270,124,10.5,13.7,10.5,5.3,5995.4,47.064
28a,280,122,8.5,13.7,10.5,5.3,5540.4,43.492
28b,280,124,10.5,13.7,10.5,5.3,6100.4,47.888
30a,300,126,9,14.4,11,5.5,6125.4,48.084
30b,300,128,11,14.4,11,5.5,6725.4,52.794
30c,300,130,13,14.4,11,5.5,7325.4,57.504
32a,320,130,9.5,15,11.5,5.8,6715.6,52.717
32b,320,132,11.5,15,11.5,5.8,7355.6,57.741
32c,320,134,13.5,15,11.5,5.8,7995.6,62.765
36a,360,136,10,15.8,12,6,7648,60.037
36b,360,138,12,15.8,12,6,8368,65.689
36c,360,140,14,15.8,12,6,9088,71.341
40a,400,142,10.5,16.5,12.5,6.3,8611.2,67.598
40b,400,144,12.5,16.5,12.5,6.3,9411.2,73.878
40c,400,146,14.5,16.5,12.5,6.3,10211.2,80.158
45a,450,150,11.5,18,13.5,6.8,10244.6,80.42
45b,450,152,13.5,18,13.5,6.8,11144.6,87.485
45c,450,154,15.5,18,13.5,6.8,12044.6,94.55
50a,500,158,12,20,14,7,11930.4,93.654
50b,500,160,14,20,14,7,12930.4,101.504
50c,500,162,16,20,14,7,13930.4,109.354
55a,550,166,12.5,21,14.5,7.3,13418.5,105.335
55b,550,168,14.5,21,14.5,7.3,14518.5,113.97
55c,550,170,16.5,21,14.5,7.3,15618.5,122.605
56a,560,166,12.5,21,14.5,7.3,13543.5,106.316
56b,560,168,14.5,21,14.5,7.3,14663.5,115.108
56c,560,170,16.5,21,14.5,7.3,15783.5,123.9
63a,630,176,13,22,15,7.5,15465.8,121.407
63b,630,178,15,22,15,7.5,16725.8,131.298
63c,630,180,17,22,15,7.5,17985.8,141.189
